Station_Name,Latitude,Longitude,URL,CDD10,solar,Tdb,Twb,HDD18
Kamloops AP,50.7,-120.45,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Kamloops.AP.718870_CWEC2020.zip,1475,204,35,20,3483
Kelowna,49.96,-119.38,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Kelowna.712030_CWEC2020.zip,1241,226,34,21,3841
Kindakun Rocks AUT,53.32,-132.77,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Kindakun.Rocks.AUT.714720_CWEC2020.zip,350,114,15,14,3358
Langara Island RCS,54.26,-133.06,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Langara.Island.RCS.719030_CWEC2020.zip,316,85,15,15,3692
Lillooet,50.68,-121.93,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Lillooet.719990_CWEC2020.zip,1583,173,36,27,3473
Lucy Island Lightstation,54.3,-130.61,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Lucy.Island.Lightstation.712200_CWEC2020.zip,325,103,15,15,3661
Lytton RCS,50.22,-121.58,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Lytton.RCS.717650_CWEC2020.zip,1465,209,35,20,3351
Mackenzie,55.3,-123.13,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Mackenzie.712900_CWEC2020.zip,594,150,25,16,5378
Malahat,48.57,-123.53,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Malahat.717740_CWEC2020.zip,877,211,24,20,3229
Nakusp CS,50.27,-117.82,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Nakusp.CS.712160_CWEC2020.zip,974,189,31,21,3919
Nelson CS,49.49,-117.31,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Nelson.CS.717760_CWEC2020.zip,1078,225,31,22,3731
Osoyoos CS,49.03,-119.44,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Osoyoos.CS.712150_CWEC2020.zip,1614,242,36,22,3219
Pemberton Airport CS,50.31,-122.73,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Pemberton.Airport.CS.717770_CWEC2020.zip,1048,177,34,21,3932
Penticton AP,49.46,-119.6,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Penticton.AP.718890_CWEC2020.zip,1383,221,33,20,3406
Pitt Meadows CS,49.21,-122.69,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Pitt.Meadows.CS.717750_CWEC2020.zip,1083,184,26,19,2995
Point Atkinson,49.33,-123.26,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Point.Atkinson.710370_CWEC2020.zip,1171,229,27,25,2363
Port Hardy AP,50.68,-127.37,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Port.Hardy.AP.711090_CWEC2020.zip,449,141,19,16,3487
Prince George,53.89,-122.67,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Prince.George.718960_CWEC2020.zip,652,166,27,18,5045
Prince Rupert,54.29,-130.44,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Prince.Rupert.710220_CWEC2020.zip,401,123,18,15,3773
Princeton CS,49.47,-120.51,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Princeton.CS.710320_CWEC2020.zip,1011,200,32,19,4534
Puntzi Mountain AUT,52.11,-124.14,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Puntzi.Mountain.AUT.710500_CWEC2020.zip,671,180,30,16,5754
Quesnel,53.03,-122.51,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Quesnel.711920_CWEC2020.zip,801,166,30,19,4811
Revelstoke AP,50.97,-118.18,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Revelstoke.AP.716850_CWEC2020.zip,895,182,31,19,4240
Rose Spit AUT,54.16,-131.66,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Rose.Spit.AUT.714770_CWEC2020.zip,358,112,16,15,3545
Salmon Arm CS,50.7,-119.29,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Salmon.Arm.CS.712180_CWEC2020.zip,1170,188,31,22,3748
Sandheads CS,49.11,-123.3,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Sandheads.CS.712090_CWEC2020.zip,920,232,23,21,2674
Sandspit,53.25,-131.81,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Sandspit.711110_CWEC2020.zip,508,111,18,16,3402
Sartine Island AUT,50.82,-128.91,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Sartine.Island.AUT.714780_CWEC2020.zip,296,146,15,14,3378
Saturna Island CS,48.78,-123.04,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Saturna.Island.CS.714730_CWEC2020.zip,949,223,24,19,2604
Sheringham Point,48.38,-123.92,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Sheringham.Point.717800_CWEC2020.zip,476,212,16,15,3015
Sisters Island,49.49,-124.43,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Sisters.Island.717810_CWEC2020.zip,956,214,23,18,2606
Smithers,54.83,-127.18,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Smithers.719500_CWEC2020.zip,548,138,27,19,5075
Solander Island AUT,50.11,-127.94,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Solander.Island.AUT.714790_CWEC2020.zip,346,174,16,15,3297
Sparwood CS,49.75,-114.88,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Sparwood.CS.717820_CWEC2020.zip,718,218,30,17,5127
Squamish Airport,49.78,-123.16,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Squamish.Airport.712070_CWEC2020.zip,984,186,31,21,3350
Summerland CS,49.56,-119.65,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Summerland.CS.717680_CWEC2020.zip,1390,198,34,19,3529
Tatlayoko Lake RCS,51.67,-124.4,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Tatlayoko.Lake.RCS.710280_CWEC2020.zip,606,193,29,15,5128
Terrace AP,54.47,-128.58,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Terrace.AP.719510_CWEC2020.zip,665,143,28,18,4268
Vancouver Intl AP,49.19,-123.18,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Vancouver.Intl.AP.718920_CWEC2020.zip,1009,218,23,19,2810
Vernon Auto,50.22,-119.19,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Vernon.Auto.711150_CWEC2020.zip,1185,223,34,20,3914
Victoria Gonzales CS,48.41,-123.32,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Victoria.Gonzales.CS.712000_CWEC2020.zip,703,228,22,16,2881
Victoria Hartland CS,48.53,-123.46,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Victoria.Hartland.CS.710380_CWEC2020.zip,1017,215,28,21,2846
Victoria Intl AP,48.65,-123.43,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Victoria.Intl.AP.717990_CWEC2020.zip,898,207,29,20,2929
Victoria University CS,48.46,-123.3,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Victoria.University.CS.717830_CWEC2020.zip,907,227,27,20,2792
Warfield RCS,49.11,-117.74,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Warfield.RCS.714010_CWEC2020.zip,1209,238,33,21,3910
West Vancouver AUT,49.35,-123.19,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_West.Vancouver.AUT.717840_CWEC2020.zip,972,199,28,21,3032
Whistler Nesters,50.13,-122.95,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Whistler.Nesters.716870_CWEC2020.zip,771,183,30,17,4365
White Rock CS,49.02,-122.78,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_White.Rock.CS.717850_CWEC2020.zip,977,213,24,18,2731
Williams Lake AP,52.18,-122.05,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Williams.Lake.AP.711040_CWEC2020.zip,677,178,29,17,4854
Yoho Park,51.44,-116.36,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Yoho.Park.717860_CWEC2020.zip,318,175,26,16,6617
Berens River CS,52.36,-97.02,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Berens.River.CS.711580_CWEC2020.zip,850,209,28,21,6217
Brandon AP,49.91,-99.95,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Brandon.AP.711400_CWEC2020.zip,1005,232,27,21,5839
Carberry CS,49.91,-99.36,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Carberry.CS.711700_CWEC2020.zip,968,216,28,22,5775
Carman U Of M CS,49.5,-98.03,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Carman.U.Of.M.CS.711470_CWEC2020.zip,1074,220,29,24,5585
Churchill AP,58.74,-94.07,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Churchill.AP.716180_CWEC2020.zip,274,139,24,18,8486
Dauphin,51.1,-100.05,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Dauphin.710360_CWEC2020.zip,988,194,29,23,5607
Deerwood RCS,49.4,-98.32,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Deerwood.RCS.718400_CWEC2020.zip,1132,232,29,23,5389
Delta Marsh CS,50.18,-98.38,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Delta.Marsh.CS.715630_CWEC2020.zip,972,207,29,23,5831
Emerson Auto,49.01,-97.24,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Emerson.Auto.715600_CWEC2020.zip,1179,221,30,23,5367
Fisher Branch AUT,51.08,-97.55,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Fisher.Branch.AUT.714420_CWEC2020.zip,930,206,28,21,5728
Flin Flon,54.68,-101.68,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Flin.Flon.719540_CWEC2020.zip,862,202,27,19,6284
George Island AUT,52.82,-97.62,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_George.Island.AUT.714450_CWEC2020.zip,847,209,25,21,6110
Gillam AP,56.36,-94.71,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Gillam.AP.719120_CWEC2020.zip,582,174,27,21,7792
Gimli Climate,50.63,-97.05,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Gimli.Climate.717480_CWEC2020.zip,981,215,28,22,5770
Gimli Harbour CS,50.63,-96.98,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Gimli.Harbour.CS.715770_CWEC2020.zip,974,199,27,24,5620
Grand Rapids AUT,53.19,-99.27,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Grand.Rapids.AUT.718580_CWEC2020.zip,769,213,26,19,6490
Gretna AUT,49.03,-97.56,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Gretna.AUT.714410_CWEC2020.zip,1134,216,30,23,5383
Island Lake AP,53.86,-94.65,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Island.Lake.AP.711450_CWEC2020.zip,788,199,29,21,6746
Kelsey Dam CS,56.04,-96.51,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Kelsey.Dam.CS.715720_CWEC2020.zip,662,175,27,19,7500
Lynn Lake,56.86,-101.08,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Lynn.Lake.710780_CWEC2020.zip,647,177,28,18,7390
Mccreary,50.71,-99.53,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Mccreary.711490_CWEC2020.zip,1000,199,29,23,5371
Melita,49.28,-100.99,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Melita.714470_CWEC2020.zip,1054,232,30,23,5450
Morden CDA CS,49.19,-98.08,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Morden.CDA.CS.715640_CWEC2020.zip,1200,223,29,22,5268
Norway House,53.96,-97.85,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Norway.House.714100_CWEC2020.zip,795,210,28,21,6606
Oakpoint Marine,50.5,-98.04,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Oakpoint.Marine.711440_CWEC2020.zip,989,221,27,22,5753
Pilot Mound AUT,49.19,-98.9,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Pilot.Mound.AUT.711480_CWEC2020.zip,944,227,27,23,5730
Pinawa,50.18,-96.06,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Pinawa.714480_CWEC2020.zip,988,192,29,22,5729
Portage Southport,49.9,-98.28,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Portage.Southport.718510_CWEC2020.zip,1066,220,28,24,5304
Roblin,51.18,-101.36,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Roblin.715530_CWEC2020.zip,886,215,28,24,6115
Shoal Lake CS,50.45,-100.6,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Shoal.Lake.CS.711500_CWEC2020.zip,847,211,27,21,5929
Sprague,49.02,-95.6,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Sprague.714490_CWEC2020.zip,1037,211,29,23,5440
Swan River RCS,52.11,-101.23,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Swan.River.RCS.714430_CWEC2020.zip,886,201,27,22,6058
Tadoule Lake CS,58.72,-98.5,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Tadoule.Lake.CS.713340_CWEC2020.zip,461,165,26,17,8405
The Pas AP,53.97,-101.09,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_The.Pas.AP.718670_CWEC2020.zip,863,217,28,21,6293
Thompson AP,55.8,-97.86,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Thompson.AP.710790_CWEC2020.zip,686,183,28,19,7312
Victoria Beach AUT,50.7,-96.57,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Victoria.Beach.AUT.715520_CWEC2020.zip,1084,222,28,23,5434
Wasagaming,50.66,-99.94,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Wasagaming.714440_CWEC2020.zip,761,202,27,21,6268
Winnipeg Intl AP,49.91,-97.24,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip,1145,203,29,24,5454
Winnipeg The Forks,49.89,-97.13,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Winnipeg.The.Forks.715790_CWEC2020.zip,1248,211,30,24,5205
Bas Caraquet,47.8,-64.83,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NB_New_Brunswick/CAN_NB_Bas.Caraquet.715980_CWEC2020.zip,894,191,28,22,4715
Bathurst AP,47.63,-65.74,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NB_New_Brunswick/CAN_NB_Bathurst.AP.715740_CWEC2020.zip,935,187,27,21,4856
Charlo Auto,47.99,-66.33,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NB_New_Brunswick/CAN_NB_Charlo.Auto.713150_CWEC2020.zip,819,183,26,20,5070
Edmundston,47.42,-68.32,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NB_New_Brunswick/CAN_NB_Edmundston.715900_CWEC2020.zip,964,179,29,22,5327
Fredericton,45.87,-66.54,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NB_New_Brunswick/CAN_NB_Fredericton.717000_CWEC2020.zip,1107,186,30,23,4450
Grand Manan Sar CS,44.71,-66.8,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NB_New_Brunswick/CAN_NB_Grand.Manan.Sar.CS.710300_CWEC2020.zip,833,190,27,22,4228
Miramichi RCS,47.01,-65.46,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NB_New_Brunswick/CAN_NB_Miramichi.RCS.717440_CWEC2020.zip,1056,187,29,22,4691
Miscou Island AUT,48.01,-64.49,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NB_New_Brunswick/CAN_NB_Miscou.Island.AUT.717190_CWEC2020.zip,761,199,26,21,4811
Moncton Intl AP,46.11,-64.68,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NB_New_Brunswick/CAN_NB_Moncton.Intl.AP.717050_CWEC2020.zip,1027,167,29,21,4521
Point Lepreau CS,45.07,-66.45,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NB_New_Brunswick/CAN_NB_Point.Lepreau.CS.716990_CWEC2020.zip,639,179,20,18,4175
Saint John AP,45.32,-65.89,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NB_New_Brunswick/CAN_NB_Saint.John.AP.716090_CWEC2020.zip,856,173,25,20,4420
St Leonard CS,47.16,-67.83,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NB_New_Brunswick/CAN_NB_St.Leonard.CS.710190_CWEC2020.zip,905,183,27,22,5178
St Stephen,45.22,-67.25,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NB_New_Brunswick/CAN_NB_St.Stephen.716070_CWEC2020.zip,1067,180,28,21,4437
Argentia AUT,47.29,-53.99,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Argentia.AUT.718070_CWEC2020.zip,509,135,19,17,4332
Badger AUT,48.97,-56.07,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Badger.AUT.714000_CWEC2020.zip,743,136,28,21,5058
Bonavista,48.67,-53.11,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Bonavista.711780_CWEC2020.zip,559,154,25,20,4716
Burgeo Nl,47.62,-57.62,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Burgeo.Nl.711520_CWEC2020.zip,501,146,20,17,4586
Cape Race AUT,46.66,-53.08,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Cape.Race.AUT.718000_CWEC2020.zip,378,112,19,17,4698
Cartwright AP,53.68,-57.04,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Cartwright.AP.718180_CWEC2020.zip,339,145,22,16,6254
Churchill Falls,53.56,-64.07,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Churchill.Falls.710020_CWEC2020.zip,418,146,24,17,7295
Corner Brook,48.93,-57.92,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Corner.Brook.719730_CWEC2020.zip,720,142,26,21,4859
Daniels Harbour,50.24,-57.58,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Daniels.Harbour.711850_CWEC2020.zip,516,160,21,18,5121
Deer Lake AP,49.21,-57.39,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Deer.Lake.AP.718090_CWEC2020.zip,716,149,26,20,4883
Englee AUT,50.72,-56.11,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Englee.AUT.714170_CWEC2020.zip,393,139,23,18,5481
Ferolle Point AUT,51.02,-57.1,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Ferolle.Point.AUT.714060_CWEC2020.zip,367,153,18,17,5543
Gander Intl AP,48.94,-54.57,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Gander.Intl.AP.718030_CWEC2020.zip,683,138,25,18,4892
Goose AP,53.32,-60.42,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Goose.AP.718160_CWEC2020.zip,599,144,26,19,6287
Hopedale AUT,55.45,-60.22,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Hopedale.AUT.719000_CWEC2020.zip,208,156,22,16,7031
La Scie,49.92,-55.67,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_La.Scie.713370_CWEC2020.zip,536,146,25,18,5343
Marys Harbour AP,52.3,-55.85,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Marys.Harbour.AP.713390_CWEC2020.zip,351,154,23,16,6116
Port Aux Basques,47.57,-59.15,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Port.Aux.Basques.711970_CWEC2020.zip,530,158,20,18,4652
Rocky Harbour CS,49.57,-57.88,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Rocky.Harbour.CS.715880_CWEC2020.zip,624,156,24,20,4928
Sagona Island,47.37,-55.79,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Sagona.Island.714080_CWEC2020.zip,449,135,17,16,4530
St Lawrence,46.92,-55.38,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_St.Lawrence.711100_CWEC2020.zip,585,150,21,19,4385
St Johns Intl AP,47.62,-52.75,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_St.Johns.Intl.AP.718010_CWEC2020.zip,641,153,24,20,4603
Stephenville AP,48.53,-58.55,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Stephenville.AP.718150_CWEC2020.zip,703,172,23,21,4584
Terra Nova Nat Park CS,48.56,-53.97,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Terra.Nova.Nat.Park.CS.715890_CWEC2020.zip,665,144,26,20,4813
Twillingate AUT,49.68,-54.8,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Twillingate.AUT.714020_CWEC2020.zip,551,148,24,19,5004
Wabush AP,52.92,-66.86,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Wabush.AP.718250_CWEC2020.zip,415,140,24,16,7268
